V battery,Vdet,I detected (A),Rbox,R detected,RV,Idetapprox,Rboxapprox,Rdetapprox,RVapprox,V battery,Vdetu,I detected (A),Rboxu,R detected,R A,Idetapproxu,Rboxapproxu,Rdetapproxu,RAapproxu
2,1.999,5.80E-07,5.00E+06,3.34E+06,1.01E+07,0.58,5.00,3.34,10.10,2,1.999,3.92E-04,5000,5.10E+03,1.00E+02,0.39,5.000,5.100,0.100
2,1.999,3.80E-07,1.00E+07,5.03E+06,1.01E+07,0.38,10.00,5.03,10.10,2,1.999,1.98E-04,1.00E+04,1.01E+04,9.54E+01,0.20,10.000,10.095,0.095
3,2.968,2.99E-04,1.00E+04,9.94E+03,1.73E+06,298.52,0.01,0.01,1.73,5,4.991,2.76E-01,10,1.81E+01,8.08E+00,276.11,0.010,0.018,0.008
3,2.983,1.51E-04,2.00E+04,1.97E+04,1.53E+06,151.10,0.02,0.02,1.53,5,4.994,1.78E-01,20,2.81E+01,8.09E+00,177.80,0.020,0.028,0.008
3,2.992,6.02E-05,5.00E+04,4.97E+04,9.21E+06,60.17,0.05,0.05,9.21,5,4.996,8.52E-02,50,5.87E+01,8.66E+00,85.17,0.050,0.059,0.009
3,2.995,3.02E-05,1.00E+05,9.91E+04,1.09E+07,30.23,0.10,0.10,10.89,5,4.998,4.61E-02,100,1.08E+02,8.43E+00,46.10,0.100,0.108,0.008
3,2.997,1.52E-05,2.00E+05,1.98E+05,1.82E+07,15.15,0.20,0.20,18.16,5,4.998,2.41E-02,200,2.08E+02,7.52E+00,24.09,0.200,0.208,0.008
3,2.998,6.22E-06,5.00E+05,4.82E+05,1.34E+07,6.22,0.50,0.48,13.38,5,4.998,9.88E-03,500,5.06E+02,5.72E+00,9.88,0.500,0.506,0.006
3,2.998,3.24E-06,1.00E+06,9.25E+05,1.24E+07,3.24,1.00,0.93,12.39,5,4.999,4.53E-03,1000,1.10E+03,1.03E+02,4.53,1.000,1.103,0.103
3,2.998,1.77E-06,2.00E+06,1.67E+06,1.02E+07,1.77,2.00,1.67,10.20,5,4.999,2.37E-03,2000,2.11E+03,1.06E+02,2.37,2.000,2.106,0.106
3,2.998,8.70E-07,5.00E+06,3.34E+06,1.01E+07,0.87,5.00,3.34,10.10,5,4.999,9.80E-04,5000,5.10E+03,1.02E+02,0.98,5.000,5.102,0.102
3,2.998,5.70E-07,1.00E+07,5.03E+06,1.01E+07,0.57,10.00,5.03,10.10,5,4.999,4.97E-04,1.00E+04,1.01E+04,5.43E+01,0.50,10.000,10.054,0.054
4,3.959,3.98E-04,1.00E+04,9.94E+03,1.71E+06,398.21,0.01,0.01,1.71,10,9.99,4.14E-01,20,2.41E+01,4.11E+00,414.40,0.020,0.024,0.004
4,3.979,2.00E-04,2.00E+04,1.99E+04,3.11E+06,200.23,0.02,0.02,3.11,10,9.99,1.83E-01,50,5.45E+01,4.53E+00,183.20,0.050,0.055,0.005
